trainable params: 41,115,872 || all params: 6,779,531,488 || trainable%: 0.6064706989380679
{'loss': 0.8693, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8461, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8357, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.84, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.7442, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.4576, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.4673, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.486, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.4866, 'learning_rate': 0.0003, 'epoch': 1.09}
{'train_runtime': 1050.692, 'train_samples_per_second': 7.344, 'train_steps_per_second': 0.917, 'train_loss': 0.66227126121521, 'epoch': 1.1}
