trainable params: 633,821,760 || all params: 7,372,237,376 || trainable%: 8.597413887721242
{'loss': 0.9991, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8906, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.9176, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8941, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.9146, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.903, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8631, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.878, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8903, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8825, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.9078, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.891, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8843, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8859, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.883, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.9017, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.9127, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8931, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8918, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8916, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9557, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8992, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8814, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8727, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9097, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8786, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8743, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8733, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.924, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9042, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8876, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9107, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9124, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8947, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8744, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8953, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8892, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8703, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8789, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.9035, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.9081, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8637, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8677, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8881, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8801, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.898, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8899, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8543, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8867, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8806, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8748, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8867, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8708, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8759, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8853, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8558, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.9083, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8881, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8626, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8931, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8815, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8702, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8751, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8976, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8805, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8731, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8851, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8765, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8713, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.913, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8621, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8667, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8743, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8711, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8831, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8668, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8892, 'learning_rate': 0.0003, 'epoch': 0.06}
