trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.8722, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8557, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.861, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8474, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8731, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8622, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8629, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8648, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8814, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8526, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.6746, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5901, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5888, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.595, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.5991, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.6188, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.6461, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.658, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.6617, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.671, 'learning_rate': 0.0003, 'epoch': 1.09}
{'train_runtime': 2299.2246, 'train_samples_per_second': 7.809, 'train_steps_per_second': 0.976, 'train_loss': 0.7436612585316533, 'epoch': 1.09}
