trainable params: 616,738,080 || all params: 7,355,153,696 || trainable%: 8.385114784690423
{'loss': 1.0027, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.9209, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.9086, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8671, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8843, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8867, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8773, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8828, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8887, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8839, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8885, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8654, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8846, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8593, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8957, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8843, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8867, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.874, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8669, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8865, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8824, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8745, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8882, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.868, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8788, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8772, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8663, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8662, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8999, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8737, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8736, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8843, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8737, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8787, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8907, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8623, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8721, 'learning_rate': 0.0003, 'epoch': 0.06}
