trainable params: 159,907,840 || all params: 6,898,323,456 || trainable%: 2.3180681656919973
{'loss': 0.9482, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8683, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8721, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8318, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8417, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8458, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8464, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8463, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8571, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8447, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8516, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.834, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8459, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8256, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.858, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8428, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8386, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8279, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8245, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8416, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8367, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8282, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.843, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8212, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8319, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8299, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8211, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8216, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8475, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8296, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8271, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8414, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8327, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8379, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8498, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8236, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8304, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8347, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8425, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8288, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8343, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8349, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.837, 'learning_rate': 0.0003, 'epoch': 0.07}
