trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.8989, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.9123, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8773, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8802, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8896, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8847, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8741, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8827, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.91, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.9115, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.9061, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8907, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8993, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.9063, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8994, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.9131, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.9333, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.9105, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8856, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8919, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8144, 'learning_rate': 0.0003, 'epoch': 1.0}
{'loss': 0.5936, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.602, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.608, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.6067, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.6406, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.6359, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.6464, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.6543, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.6385, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.6624, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.6651, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.6856, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.6944, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.6927, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.7174, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.7271, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.6802, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.7138, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.7222, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.714, 'learning_rate': 0.0003, 'epoch': 1.09}
{'train_runtime': 2463.6927, 'train_samples_per_second': 7.287, 'train_steps_per_second': 1.822, 'train_loss': 0.7815049497036322, 'epoch': 1.09}
