trainable params: 1,096,024,320 || all params: 7,834,439,936 || trainable%: 13.989823509446586
{'loss': 1.0503, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.933, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9053, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8806, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.897, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8934, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8852, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8888, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8706, 'learning_rate': 0.0003, 'epoch': 0.07}
