trainable params: 1,077,149,952 || all params: 7,815,565,568 || trainable%: 13.782111385646557
{'loss': 0.9302, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9105, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.9009, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.9006, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.9026, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8976, 'learning_rate': 0.0003, 'epoch': 0.1}
{'loss': 0.8683, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.8429, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.8285, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.8473, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.851, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.8367, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.846, 'learning_rate': 0.0003, 'epoch': 1.11}
{'train_runtime': 1469.4591, 'train_samples_per_second': 6.366, 'train_steps_per_second': 0.796, 'train_loss': 0.8730887671311697, 'epoch': 1.11}
