trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.8747, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8586, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8737, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8768, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8679, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.841, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 0.864, 'learning_rate': 0.0003, 'epoch': 0.13}
{'loss': 0.6352, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5422, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.5655, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.5836, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.5978, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.5981, 'learning_rate': 0.0003, 'epoch': 1.11}
{'loss': 0.6233, 'learning_rate': 0.0003, 'epoch': 1.13}
{'train_runtime': 1613.1613, 'train_samples_per_second': 5.242, 'train_steps_per_second': 0.655, 'train_loss': 0.7253178333414012, 'epoch': 1.14}
