trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.9097, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.9229, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8867, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.9018, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8952, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.9304, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.9515, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.9207, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.9102, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.9003, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.9175, 'learning_rate': 0.0003, 'epoch': 0.1}
{'loss': 0.9269, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 0.8261, 'learning_rate': 0.0003, 'epoch': 1.0}
{'loss': 0.5558, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5472, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.5546, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.5941, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.6106, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.6289, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.6046, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.613, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.6323, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.6448, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.6523, 'learning_rate': 0.0003, 'epoch': 1.1}
{'loss': 0.6629, 'learning_rate': 0.0003, 'epoch': 1.11}
{'train_runtime': 1520.879, 'train_samples_per_second': 5.904, 'train_steps_per_second': 1.475, 'train_loss': 0.7620195538389917, 'epoch': 1.11}
