trainable params: 159,907,840 || all params: 6,898,323,456 || trainable%: 2.3180681656919973
{'loss': 0.9489, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8682, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8716, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8317, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8418, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8457, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8465, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8465, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.857, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8446, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8514, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8223, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8467, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.826, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8581, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8424, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8374, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8272, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8246, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.841, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8365, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8277, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8433, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8213, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.832, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8301, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8217, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8215, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.847, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8293, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8267, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8408, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8327, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8375, 'learning_rate': 0.0003, 'epoch': 0.05}
