trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.8439, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8171, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8407, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8482, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.6559, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.4498, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.4661, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.4911, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.5165, 'learning_rate': 0.0003, 'epoch': 1.09}
{'train_runtime': 540.6772, 'train_samples_per_second': 7.376, 'train_steps_per_second': 1.842, 'train_loss': 0.6588105254703098, 'epoch': 1.09}
