trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.9318, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.9239, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.9296, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.9067, 'learning_rate': 0.0003, 'epoch': 0.1}
{'loss': 0.9005, 'learning_rate': 0.0003, 'epoch': 0.12}
{'loss': 0.9108, 'learning_rate': 0.0003, 'epoch': 0.15}
{'loss': 0.6025, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.5676, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.5917, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.5982, 'learning_rate': 0.0003, 'epoch': 1.1}
{'loss': 0.631, 'learning_rate': 0.0003, 'epoch': 1.12}
{'loss': 0.6322, 'learning_rate': 0.0003, 'epoch': 1.15}
{'train_runtime': 1374.8828, 'train_samples_per_second': 4.71, 'train_steps_per_second': 0.589, 'train_loss': 0.7589976377174502, 'epoch': 1.15}
