trainable params: 2,359,360 || all params: 6,740,774,976 || trainable%: 0.03500131673880698
{'loss': 0.9943, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8887, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8705, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.858, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8781, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8448, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8556, 'learning_rate': 0.0003, 'epoch': 0.1}
{'loss': 0.8631, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 0.8483, 'learning_rate': 0.0003, 'epoch': 0.12}
{'loss': 0.8508, 'learning_rate': 0.0003, 'epoch': 0.14}
{'loss': 0.8345, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.7828, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.8174, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.7823, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.798, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.8189, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.8096, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.8288, 'learning_rate': 0.0003, 'epoch': 1.1}
{'loss': 0.8041, 'learning_rate': 0.0003, 'epoch': 1.12}
{'loss': 0.8248, 'learning_rate': 0.0003, 'epoch': 1.13}
{'train_runtime': 1834.2616, 'train_samples_per_second': 6.416, 'train_steps_per_second': 0.801, 'train_loss': 0.8425949954530269, 'epoch': 1.14}
