trainable params: 1,077,149,952 || all params: 7,815,565,568 || trainable%: 13.782111385646557
{'loss': 0.8786, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.855, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8488, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8507, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8591, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8548, 'learning_rate': 0.0003, 'epoch': 0.1}
{'loss': 0.782, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.7938, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.7969, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.8057, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.8052, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.7815, 'learning_rate': 0.0003, 'epoch': 1.1}
{'train_runtime': 1383.2498, 'train_samples_per_second': 6.89, 'train_steps_per_second': 0.862, 'train_loss': 0.8260136445363363, 'epoch': 1.1}
